geneSymbol,diseaseName
NAT2,Malignant neoplasm of liver
NAT2,Malignant mesothelioma
NAT2,Malignant neoplasm of prostate
NAT2,Breast Carcinoma
NAT2,Acrania
NAT2,Drug-Induced Liver Disease
NAT2,"Mammary Neoplasms, Human"
NAT2,"Hepatitis, Drug-Induced"
NAT2,Mammary Neoplasms
NAT2,Coronary Artery Disease
NAT2,Precursor Cell Lymphoblastic Leukemia Lymphoma
NAT2,Liver carcinoma
NAT2,Drug-Induced Acute Liver Injury
NAT2,Chemical and Drug Induced Liver Injury
NAT2,Chemically-Induced Liver Toxicity
NAT2,"Mammary Carcinoma, Human"
SERPINA3,Lipoidosis
SERPINA3,Prostatic Neoplasms
SERPINA3,Malignant neoplasm of prostate
AADAC,"Liver Cirrhosis, Experimental"
AANAT,"Depression, Bipolar"
AANAT,Mental Depression
AANAT,Depressive disorder
ABAT,Autistic Disorder
ABAT,Jacksonian Seizure
ABAT,"Liver Cirrhosis, Experimental"
ABAT,Muscle hypotonia
ABAT,Seizures
ABAT,Complex partial seizures
ABAT,Generalized seizures
ABAT,Clonic Seizures
ABAT,Visual seizure
ABAT,Tonic Seizures
ABAT,Epileptic drop attack
ABAT,"Seizures, Somatosensory"
ABAT,"Seizures, Auditory"
ABAT,Olfactory seizure
ABAT,Gustatory seizure
ABAT,Vertiginous seizure
ABAT,Developmental delay (disorder)
ABAT,Tonic - clonic seizures
ABAT,Global developmental delay
ABAT,Non-epileptic convulsion
ABAT,Single Seizure
ABAT,Atonic Absence Seizures
ABAT,Convulsive Seizures
ABAT,"Seizures, Focal"
ABAT,"Seizures, Sensory"
ABAT,Nonepileptic Seizures
ABAT,Convulsions
ABAT,Absence Seizures
ABAT,Epileptic Seizures
ABAT,Myoclonic Seizures
ABAT,Generalized Absence Seizures
ABCA1,Atherosclerosis
ABCA1,Colorectal Carcinoma
ABCA1,Colorectal Neoplasms
ABCA1,Hypercholesterolemia
ABCA1,"Hypercholesterolemia, Familial"
ABCA1,"Kidney Failure, Chronic"
ABCA1,Schizophrenia
ABCA1,Hyperlipoproteinemia Type IIa
ABCA1,Atherogenesis
ABCA1,Hyperlipoproteinemia Type IIb
ABCA1,Peripheral Nervous System Diseases
ABCA3,Malignant neoplasm of breast
ABCA3,Colorectal Carcinoma
ABCA3,Colorectal Neoplasms
ABCA3,Pathological accumulation of air in tissues
ABCA3,Pulmonary Hypertension
ABCA3,Pulmonary Fibrosis
ABCA3,Hamman-Rich syndrome
ABCA3,Idiopathic Pulmonary Fibrosis
ABCA3,"Alveolitis, Fibrosing"
ABCB7,Ataxia
ABCB7,"Ataxia, Sensory"
ABCB7,"Ataxia, Motor"
ABCB7,"Ataxia, Truncal"
ABCB7,Abnormal coordination
ABCB7,"Ataxia, Appendicular"
ABCB7,"Tremor, Rubral"
ABCF1,Hypersensitivity
ABCF1,Pneumonia
ABCF1,Lobar Pneumonia
ABCF1,Disease Exacerbation
ABCF1,Experimental Lung Inflammation
ABCF1,Allergic Reaction
ABCF1,Pneumonitis
ABCA4,Malignant neoplasm of breast
ABCA4,Cleft upper lip
ABCA4,Colorectal Carcinoma
ABCA4,Colorectal Neoplasms
ABCA4,Disorder of eye
ABCA4,Retinitis Pigmentosa
ABCA4,Age related macular degeneration
ABCA4,Cone-Rod Dystrophy 2
ABL1,Adenocarcinoma
ABL1,"Bone Diseases, Developmental"
ABL1,Malignant neoplasm of breast
ABL1,Burkitt Lymphoma
ABL1,Esophageal Neoplasms
ABL1,Congenital Heart Defects
ABL1,Childhood Acute Lymphoblastic Leukemia
ABL1,L2 Acute Lymphoblastic Leukemia
ABL1,"Myeloid Leukemia, Chronic"
ABL1,Liver neoplasms
ABL1,melanoma
ABL1,"Neoplasms, Experimental"
ABL1,Precancerous Conditions
ABL1,"Adenocarcinoma, Basal Cell"
ABL1,"Adenocarcinoma, Oxyphilic"
ABL1,"Carcinoma, Cribriform"
ABL1,"Carcinoma, Granular Cell"
ABL1,"Adenocarcinoma, Tubular"
ABL1,"Condition, Preneoplastic"
ABL1,Malignant neoplasm of liver
ABL1,Large cell carcinoma of lung
ABL1,Malignant neoplasm of esophagus
ABL1,Breast Carcinoma
ABL1,"Mammary Neoplasms, Human"
ABL1,Precursor B-cell lymphoblastic leukemia
ABL1,Mammary Neoplasms
ABL1,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
ABL1,Precursor Cell Lymphoblastic Leukemia Lymphoma
ABL1,"Mammary Carcinoma, Human"
AOC1,Cardiomegaly
AOC1,Hypertensive disease
AOC1,Cardiac Hypertrophy
ABO,"Alcoholic Intoxication, Chronic"
ABO,Coronary Arteriosclerosis
ABO,Pancreatic Neoplasm
ABO,Prostatic Neoplasms
ABO,Cerebrovascular accident
ABO,Alcohol abuse
ABO,Malignant neoplasm of pancreas
ABO,Malignant neoplasm of prostate
ABO,Mood Disorders
ABO,Acute Cerebrovascular Accidents
ABO,Coronary Artery Disease
ABO,Diverticular Diseases
ABO,Diverticular Bleeding
ABO,"Carcinoma, Ovarian Epithelial"
ABR,Prostatic Neoplasms
ABR,Malignant neoplasm of prostate
ACACA,Colorectal Carcinoma
ACACA,Heart failure
ACACA,Congestive heart failure
ACACA,Left-Sided Heart Failure
ACACA,"Heart Failure, Right-Sided"
ACACA,Myocardial Failure
ACACA,Heart Decompensation
ACACA,Liver carcinoma
ACACB,Insulin Resistance
ACACB,Obesity
ACACB,Insulin Sensitivity
ACACB,Pancreatic Ductal Adenocarcinoma
ACADM,Malignant neoplasm of breast
ACADM,Obesity
ACADM,Sudden infant death syndrome
ACADM,Weight Gain
ACADM,Necrotizing Enterocolitis
ACADS,Bipolar Disorder
ACADS,Heart failure
ACADS,Congestive heart failure
ACADS,Left-Sided Heart Failure
ACADS,"Heart Failure, Right-Sided"
ACADS,Myocardial Failure
ACADS,Heart Decompensation
ACADSB,Autistic Disorder
ACADVL,Anoxemia
ACADVL,Anoxia
ACADVL,Hypoxia
ACADVL,Erythrocyte Mean Corpuscular Hemoglobin Test
ACADVL,Hypoxemia
ACADVL,Finding of Mean Corpuscular Hemoglobin
ACAT1,Jacksonian Seizure
ACAT1,"Kidney Failure, Chronic"
ACAT1,"Liver Cirrhosis, Experimental"
ACAT1,Seizures
ACAT1,Complex partial seizures
ACAT1,Generalized seizures
ACAT1,Clonic Seizures
ACAT1,Visual seizure
ACAT1,Tonic Seizures
ACAT1,Epileptic drop attack
ACAT1,"Seizures, Somatosensory"
ACAT1,"Seizures, Auditory"
ACAT1,Olfactory seizure
ACAT1,Gustatory seizure
ACAT1,Vertiginous seizure
ACAT1,Tonic - clonic seizures
ACAT1,Non-epileptic convulsion
ACAT1,Single Seizure
ACAT1,Atonic Absence Seizures
ACAT1,Convulsive Seizures
ACAT1,"Seizures, Focal"
ACAT1,"Seizures, Sensory"
ACAT1,Nonepileptic Seizures
ACAT1,Convulsions
ACAT1,Absence Seizures
ACAT1,Epileptic Seizures
ACAT1,Myoclonic Seizures
ACAT1,Generalized Absence Seizures
ASIC2,Autistic Disorder
ASIC2,Inflammation
ASIC1,Brain Ischemia
ASIC1,Inflammation
ASIC1,Cerebral Ischemia
ACHE,Alzheimer's Disease
ACHE,Amyloidosis
ACHE,Anemia
ACHE,Malignant neoplasm of urinary bladder
ACHE,Bladder Neoplasm
ACHE,Malignant neoplasm of breast
ACHE,Renal Cell Carcinoma
ACHE,Presenile dementia
ACHE,Drug toxicity
ACHE,Growth Disorders
ACHE,Jacksonian Seizure
ACHE,Learning Disorders
ACHE,"Liver Cirrhosis, Experimental"
ACHE,Memory Disorders
ACHE,Movement Disorders
ACHE,nervous system disorder
ACHE,Obesity
ACHE,Prostatic Neoplasms
ACHE,Schizophrenia
ACHE,Seizures
ACHE,Tremor
ACHE,Adverse reaction to drug
ACHE,Complex partial seizures
ACHE,Memory impairment
ACHE,Generalized seizures
ACHE,Clonic Seizures
ACHE,Amphetamine-Related Disorders
ACHE,Amphetamine Addiction
ACHE,Amphetamine Abuse
ACHE,Etat Marbre
ACHE,Visual seizure
ACHE,Tonic Seizures
ACHE,Epileptic drop attack
ACHE,Familial Alzheimer Disease (FAD)
ACHE,Conventional (Clear Cell) Renal Cell Carcinoma
ACHE,Malignant neoplasm of prostate
ACHE,"Seizures, Somatosensory"
ACHE,"Seizures, Auditory"
ACHE,Olfactory seizure
ACHE,Gustatory seizure
ACHE,Vertiginous seizure
ACHE,"Alzheimer Disease, Late Onset"
ACHE,Tonic - clonic seizures
ACHE,Acute Confusional Senile Dementia
ACHE,Breast Carcinoma
ACHE,"Alzheimer's Disease, Focal Onset"
ACHE,"Alzheimer Disease, Early Onset"
ACHE,Non-epileptic convulsion
ACHE,Single Seizure
ACHE,Atonic Absence Seizures
ACHE,Adult Learning Disorders
ACHE,Learning Disturbance
ACHE,Learning Disabilities
ACHE,Age-Related Memory Disorders
ACHE,"Memory Disorder, Semantic"
ACHE,"Memory Disorder, Spatial"
ACHE,Memory Loss
ACHE,Convulsive Seizures
ACHE,"Seizures, Focal"
ACHE,"Seizures, Sensory"
ACHE,"Mammary Neoplasms, Human"
ACHE,Chromophobe Renal Cell Carcinoma
ACHE,Sarcomatoid Renal Cell Carcinoma
ACHE,Collecting Duct Carcinoma of the Kidney
ACHE,Papillary Renal Cell Carcinoma
ACHE,Developmental Academic Disorder
ACHE,Mammary Neoplasms
ACHE,Nonepileptic Seizures
ACHE,Convulsions
ACHE,Absence Seizures
ACHE,Epileptic Seizures
ACHE,Myoclonic Seizures
ACHE,Generalized Absence Seizures
ACHE,"Mammary Carcinoma, Human"
ACLY,Heart failure
ACLY,Congestive heart failure
ACLY,Left-Sided Heart Failure
ACLY,Obesity
ACLY,"Heart Failure, Right-Sided"
ACLY,Myocardial Failure
ACLY,Heart Decompensation
ACLY,Liver carcinoma
ACO1,Neoplasm Invasiveness
ACO1,Degenerative polyarthritis
ACO1,Osteoarthrosis Deformans
ACO2,Malignant neoplasm of breast
ACO2,"Respiratory Distress Syndrome, Adult"
ACO2,Liver carcinoma
ACOX1,Alloxan Diabetes
ACOX1,"Diabetes Mellitus, Experimental"
ACOX1,Streptozotocin Diabetes
ACOX1,Liver carcinoma
ACP1,Schizophrenia
ACP1,Unipolar Depression
ACP1,Major Depressive Disorder
ACP5,"Liver Cirrhosis, Experimental"
ACP5,Obesity
ACP5,Disproportionate short stature
ACP5,Autoinflammatory disorder
ACTA1,"Cardiomyopathy, Dilated"
ACTA1,Hypertrophic Cardiomyopathy
ACTA1,Left Ventricular Hypertrophy
ACTA1,Centronuclear myopathy
ACTA1,X-linked centronuclear myopathy
ACTA1,Tubular Aggregate Myopathy
ACTA1,Congenital Fiber Type Disproportion
ACTA1,Congenital Structural Myopathy
ACTA1,"Myopathy, Centronuclear, Autosomal Dominant"
ACTA1,Autosomal Recessive Centronuclear Myopathy
ACTA1,Autosomal Dominant Myotubular Myopathy
ACTA1,"Myopathy, Centronuclear, 1"
ACTA2,"Cholestasis, Extrahepatic"
ACTA2,Malignant neoplasm of breast
ACTA2,Malignant tumor of colon
ACTA2,Colonic Neoplasms
ACTA2,Endometriosis
ACTA2,Fetal Growth Retardation
ACTA2,Focal glomerulosclerosis
ACTA2,"Hepatitis, Chronic"
ACTA2,Ischemia
ACTA2,Kidney Diseases
ACTA2,Liver Cirrhosis
ACTA2,"Liver Cirrhosis, Experimental"
ACTA2,Liver diseases
ACTA2,Moyamoya Disease
ACTA2,Myocardial Infarction
ACTA2,Nephrosclerosis
ACTA2,Pulmonary Fibrosis
ACTA2,Systemic Scleroderma
ACTA2,Ureteral obstruction
ACTA2,"Hyalinosis, Segmental Glomerular"
ACTA2,Liver Dysfunction
ACTA2,Chronic Persistent Hepatitis
ACTA2,"Fibrosis, Liver"
ACTA2,Endometrioma
ACTA2,Chronic active hepatitis
ACTA2,Cryptogenic Chronic Hepatitis
ACTA2,Breast Carcinoma
ACTA2,"Mammary Neoplasms, Human"
ACTA2,Mammary Neoplasms
ACTA2,Copper-Overload Cirrhosis
ACTA2,"Mammary Carcinoma, Human"
ACTA2,Familial thoracic aortic aneurysm and aortic dissection
ACTA2,"Alveolitis, Fibrosing"
ACTB,Anoxemia
ACTB,Anoxia
ACTB,Bipolar Disorder
ACTB,Blood Platelet Disorders
ACTB,Carcinoma
ACTB,Dystonia
ACTB,Esophageal Neoplasms
ACTB,Sensorineural Hearing Loss (disorder)
ACTB,"Hepatitis, Toxic"
ACTB,Lung Neoplasms
ACTB,Animal Mammary Neoplasms
ACTB,"Mammary Neoplasms, Experimental"
ACTB,Neoplasm Invasiveness
ACTB,Degenerative polyarthritis
ACTB,Schizophrenia
ACTB,Osteoarthrosis Deformans
ACTB,Myocardial Ischemia
ACTB,Anaplastic carcinoma
ACTB,"Carcinoma, Spindle-Cell"
ACTB,Undifferentiated carcinoma
ACTB,Carcinomatosis
ACTB,Hypoxia
ACTB,Malignant neoplasm of lung
ACTB,Cranioschisis
ACTB,Craniofacial Abnormalities
ACTB,"Dystonia, Paroxysmal"
ACTB,"Dystonia, Diurnal"
ACTB,Congenital neurologic anomalies
ACTB,Malignant neoplasm of esophagus
ACTB,Hypoxemia
ACTB,"Dystonia, Limb"
ACTB,Drug-Induced Liver Disease
ACTB,"Mammary Carcinoma, Animal"
ACTB,"Hepatitis, Drug-Induced"
ACTB,Sensory hearing loss
ACTB,Liver carcinoma
ACTB,Drug-Induced Acute Liver Injury
ACTB,Chemical and Drug Induced Liver Injury
ACTB,Chemically-Induced Liver Toxicity
ACTC1,"Cardiomyopathy, Dilated"
ACTC1,Hypertrophic Cardiomyopathy
ACTC1,Malignant neoplasm of stomach
ACTC1,Precancerous Conditions
ACTC1,Stomach Neoplasms
ACTC1,"Condition, Preneoplastic"
ACTC1,Familial dilated cardiomyopathy
ACTC1,Cardiomyopathies
ACTC1,"Cardiomyopathy, Familial Idiopathic"
ACTC1,Hereditary Diffuse Gastric Cancer
ACTC1,Left ventricular noncompaction
ACTG1,"Osteoporosis, Age-Related"
ACTG1,Carcinoma
ACTG1,Neoplastic Cell Transformation
ACTG1,Epilepsy
ACTG1,Animal Mammary Neoplasms
ACTG1,"Mammary Neoplasms, Experimental"
ACTG1,Osteoporosis
ACTG1,"Osteoporosis, Senile"
ACTG1,Anaplastic carcinoma
ACTG1,"Carcinoma, Spindle-Cell"
ACTG1,Undifferentiated carcinoma
ACTG1,Carcinomatosis
ACTG1,Cranioschisis
ACTG1,Craniofacial Abnormalities
ACTG1,Congenital neurologic anomalies
ACTG1,Post-Traumatic Osteoporosis
ACTG1,Acute Coronary Syndrome
ACTG1,"Mammary Carcinoma, Animal"
ACTG1,hearing impairment
ACTG1,Nonsyndromic Deafness
ACTG2,Malignant tumor of colon
ACTG2,Colonic Neoplasms
ACTN4,Carcinoma
ACTN4,Focal glomerulosclerosis
ACTN4,"Hepatitis, Toxic"
ACTN4,Animal Mammary Neoplasms
ACTN4,"Mammary Neoplasms, Experimental"
ACTN4,"Hyalinosis, Segmental Glomerular"
ACTN4,Anaplastic carcinoma
ACTN4,"Carcinoma, Spindle-Cell"
ACTN4,Undifferentiated carcinoma
ACTN4,Carcinomatosis
ACTN4,Drug-Induced Liver Disease
ACTN4,"Mammary Carcinoma, Animal"
ACTN4,"Hepatitis, Drug-Induced"
ACTN4,"NEPHROTIC SYNDROME, STEROID-RESISTANT, AUTOSOMAL RECESSIVE"
ACTN4,Drug-Induced Acute Liver Injury
ACTN4,Chemical and Drug Induced Liver Injury
ACTN4,Chemically-Induced Liver Toxicity
ACTL6A,Developmental delay (disorder)
ACTL6A,Global developmental delay
ACTL6A,Intellectual Disability
ACTN1,"Liver Cirrhosis, Experimental"
ACTN2,Familial dilated cardiomyopathy
ACTN2,Cardiomyopathies
ACVR1,Astrocytoma
ACVR1,Malignant neoplasm of breast
ACVR1,Connective Tissue Diseases
ACVR1,Glioma
ACVR1,melanoma
ACVR1,Subependymal Giant Cell Astrocytoma
ACVR1,Acute Lung Injury
ACVR1,mixed gliomas
ACVR1,Juvenile Pilocytic Astrocytoma
ACVR1,Diffuse Astrocytoma
ACVR1,Anaplastic astrocytoma
ACVR1,Protoplasmic astrocytoma
ACVR1,Gemistocytic astrocytoma
ACVR1,Fibrillary Astrocytoma
ACVR1,Pilocytic Astrocytoma
ACVR1,Childhood Cerebral Astrocytoma
ACVR1,Mixed oligoastrocytoma
ACVR1,Malignant Glioma
ACVR1,Breast Carcinoma
ACVR1,Cerebral Astrocytoma
ACVR1,Intracranial Astrocytoma
ACVR1,"Mammary Neoplasms, Human"
ACVR1,Mammary Neoplasms
ACVR1,Grade I Astrocytoma
ACVR1,"Mammary Carcinoma, Human"
ACVR2A,Gastric Adenocarcinoma
ACVR2A,Microsatellite Instability
ACVR2A,Replication Error Phenotype
ACVR2B,Situs Inversus
ACVR2B,Situs ambiguus
ACVR2B,Ciliopathies
ACVRL1,Blood Coagulation Disorders
ACVRL1,Pulmonary Hypertension
ACVRL1,Familial primary pulmonary hypertension
ACVRL1,"2-oxo-hept-3-ene-1,7-dioate hydratase activity"
ACVRL1,Pulmonary arterial hypertension
ACVRL1,Idiopathic pulmonary arterial hypertension
ACVRL1,Familial thoracic aortic aneurysm and aortic dissection
ACY1,Malignant neoplasm of breast
ACY1,Renal Cell Carcinoma
ACY1,Precancerous Conditions
ACY1,Conventional (Clear Cell) Renal Cell Carcinoma
ACY1,"Condition, Preneoplastic"
ACY1,Chromophobe Renal Cell Carcinoma
ACY1,Sarcomatoid Renal Cell Carcinoma
ACY1,Collecting Duct Carcinoma of the Kidney
ACY1,Papillary Renal Cell Carcinoma
ACY1,Intellectual Disability
ADA,Autistic Disorder
ADA,Hyperemia
ADA,"Liver Cirrhosis, Experimental"
ADA,Lung Neoplasms
ADA,Venous Engorgement
ADA,Severe Combined Immunodeficiency
ADA,Reactive Hyperemia
ADA,Malignant neoplasm of lung
ADA,Active Hyperemia
ADA,Pancreatic Ductal Adenocarcinoma
ADA,Omenn Syndrome
ADAM8,"Hepatitis, Toxic"
ADAM8,Drug-Induced Liver Disease
ADAM8,"Hepatitis, Drug-Induced"
ADAM8,Drug-Induced Acute Liver Injury
ADAM8,Chemical and Drug Induced Liver Injury
ADAM8,Chemically-Induced Liver Toxicity
ADAM10,Alzheimer's Disease
ADAM10,Malignant neoplasm of breast
ADAM10,Presenile dementia
ADAM10,Familial Alzheimer Disease (FAD)
ADAM10,"Alzheimer Disease, Late Onset"
ADAM10,Acute Confusional Senile Dementia
ADAM10,Breast Carcinoma
ADAM10,"Alzheimer's Disease, Focal Onset"
ADAM10,"Alzheimer Disease, Early Onset"
ADAM10,"Mammary Neoplasms, Human"
ADAM10,Mammary Neoplasms
ADAM10,"Mammary Carcinoma, Human"
ADAR,Malignant neoplasm of breast
ADAR,Dystonia
ADAR,Breast Carcinoma
ADAR,"Mammary Neoplasms, Human"
ADAR,Mammary Neoplasms
ADAR,Autoinflammatory disorder
ADAR,"Mammary Carcinoma, Human"
ADARB1,Bipolar Disorder
ADARB1,Polycystic Ovary Syndrome
ADARB1,Psychotic Disorders
ADARB1,Schizophrenia
ADARB1,Sclerocystic Ovaries
ADARB2,Colorectal Carcinoma
ADARB2,Drug abuse
ADARB2,Drug habituation
ADARB2,Drug Use Disorders
ADARB2,"Organic Mental Disorders, Substance-Induced"
ADARB2,Parkinson Disease
ADARB2,Substance Dependence
ADARB2,Substance Use Disorders
ADARB2,Substance-Related Disorders
ADARB2,Substance abuse problem
ADARB2,Drug Dependence
ADARB2,Prescription Drug Abuse
ADCY1,Substance Withdrawal Syndrome
ADCY1,Drug Withdrawal Symptoms
ADCY1,Withdrawal Symptoms
ADCY1,Small cell carcinoma of lung
ADCY1,"Hyperkinesia, Generalized"
ADCY1,"DEAFNESS, AUTOSOMAL RECESSIVE (disorder)"
ADCY1,Hyperkinesia
ADCY2,Asthma
ADCY2,Bipolar Disorder
ADCY2,"Depression, Bipolar"
ADCY2,Manic Disorder
ADCY2,Manic
ADCY3,Bipolar Disorder
ADCY3,Diabetic Angiopathies
ADCY3,"Microangiopathy, Diabetic"
ADCY3,Obesity
ADCY3,Mood Disorders
ADCY5,"Osteoporosis, Age-Related"
ADCY5,"Alcoholic Intoxication, Chronic"
ADCY5,Birth Weight
ADCY5,Carcinoma
ADCY5,Mental Depression
ADCY5,Depressive disorder
ADCY5,"Diabetes Mellitus, Non-Insulin-Dependent"
ADCY5,Dystonia
ADCY5,Fibrosis
ADCY5,Hypertensive disease
ADCY5,Animal Mammary Neoplasms
ADCY5,"Mammary Neoplasms, Experimental"
ADCY5,Osteoporosis
ADCY5,"Osteoporosis, Senile"
ADCY5,"Cardiomyopathies, Primary"
ADCY5,"Myocardial Diseases, Secondary"
ADCY5,Unipolar Depression
ADCY5,Anaplastic carcinoma
ADCY5,"Carcinoma, Spindle-Cell"
ADCY5,Undifferentiated carcinoma
ADCY5,Carcinomatosis
ADCY5,"Ventricular Dysfunction, Left"
ADCY5,Post-Traumatic Osteoporosis
ADCY5,Cardiomyopathies
ADCY5,"Mammary Carcinoma, Animal"
ADCY5,Major Depressive Disorder
ADCY5,Neurodevelopmental Disorders
ADCY5,Cirrhosis
ADCY7,"Alcoholic Intoxication, Chronic"
ADCY7,Ulcerative Colitis
ADCY7,Mental Depression
ADCY7,Depressive disorder
ADCY7,"Leukemia, Myelocytic, Acute"
ADCY7,"Acute Myeloid Leukemia, M1"
ADCY7,Schizophrenia
ADCY7,Unipolar Depression
ADCY7,Juvenile-Onset Still Disease
ADCY7,Mood Disorders
ADCY7,Major Depressive Disorder
ADCY7,Acute Myeloid Leukemia (AML-M2)
ADCY7,Juvenile arthritis
ADCY7,Juvenile psoriatic arthritis
ADCY7,"Polyarthritis, Juvenile, Rheumatoid Factor Negative"
ADCY7,"Polyarthritis, Juvenile, Rheumatoid Factor Positive"
ADCY8,Bipolar Disorder
ADCY8,Colorectal Carcinoma
ADCY8,Mental Depression
ADCY8,Depressive disorder
ADCY8,Diabetic Angiopathies
ADCY8,"Microangiopathy, Diabetic"
ADCY8,Substance Withdrawal Syndrome
ADCY8,Drug Withdrawal Symptoms
ADCY8,Withdrawal Symptoms
ADCY8,Mood Disorders
ADCY8,"Hyperkinesia, Generalized"
ADCY8,Hyperkinesia
ADCYAP1,Bipolar Disorder
ADCYAP1,Mental Depression
ADCYAP1,Depressive disorder
ADCYAP1,Hyperemia
ADCYAP1,Jacksonian Seizure
ADCYAP1,"Cardiomyopathies, Primary"
ADCYAP1,Schizophrenia
ADCYAP1,"Myocardial Diseases, Secondary"
ADCYAP1,Seizures
ADCYAP1,Venous Engorgement
ADCYAP1,"Encephalopathy, Toxic"
ADCYAP1,Complex partial seizures
ADCYAP1,Toxic Encephalitis
ADCYAP1,Reactive Hyperemia
ADCYAP1,Generalized seizures
ADCYAP1,Clonic Seizures
ADCYAP1,Neurotoxicity Syndromes
ADCYAP1,Visual seizure
ADCYAP1,Tonic Seizures
ADCYAP1,Epileptic drop attack
ADCYAP1,Squamous cell carcinoma of esophagus
ADCYAP1,Active Hyperemia
ADCYAP1,"Seizures, Somatosensory"
ADCYAP1,"Seizures, Auditory"
ADCYAP1,Olfactory seizure
ADCYAP1,Gustatory seizure
ADCYAP1,Vertiginous seizure
ADCYAP1,Tonic - clonic seizures
ADCYAP1,Non-epileptic convulsion
ADCYAP1,Single Seizure
ADCYAP1,Atonic Absence Seizures
ADCYAP1,Convulsive Seizures
ADCYAP1,"Seizures, Focal"
ADCYAP1,"Seizures, Sensory"
ADCYAP1,Cardiomyopathies
ADCYAP1,Nonepileptic Seizures
ADCYAP1,Convulsions
ADCYAP1,Absence Seizures
ADCYAP1,Epileptic Seizures
ADCYAP1,Myoclonic Seizures
ADCYAP1,Generalized Absence Seizures
ADCYAP1R1,Asthma
ADCYAP1R1,Schizophrenia
ADD1,Hypertensive disease
ADD1,Essential Hypertension
ADD1,Liver carcinoma
ADD3,Bipolar Disorder
ADD3,"Depression, Bipolar"
ADD3,Brain Ischemia
ADD3,"Liver Cirrhosis, Experimental"
ADD3,Manic Disorder
ADD3,"Encephalopathy, Toxic"
ADD3,Toxic Encephalitis
ADD3,Neurotoxicity Syndromes
ADD3,Manic
ADD3,Cerebral Ischemia
PLIN2,Fatty Liver
PLIN2,"Liver Cirrhosis, Experimental"
PLIN2,Malignant neoplasm of stomach
PLIN2,Stomach Neoplasms
PLIN2,Hereditary Diffuse Gastric Cancer
PLIN2,Steatohepatitis
ADH1A,"Alcoholic Intoxication, Chronic"
ADH1A,Non-alcoholic Fatty Liver Disease
ADH1A,Nonalcoholic Steatohepatitis
ADH1B,Alcohol Use Disorder
ADH1B,Alcoholic Intoxication
ADH1B,"Alcoholic Intoxication, Chronic"
ADH1B,Cerebral Infarction
ADH1B,Colorectal Carcinoma
ADH1B,Colorectal Neoplasms
ADH1B,Esophageal Neoplasms
ADH1B,Mouth Neoplasms
ADH1B,Obesity
ADH1B,Psychotic Disorders
ADH1B,Alcohol abuse
ADH1B,Malignant neoplasm of mouth
ADH1B,Squamous cell carcinoma of esophagus
ADH1B,Non-alcoholic Fatty Liver Disease
ADH1B,Malignant neoplasm of esophagus
ADH1B,"Cerebral Infarction, Left Hemisphere"
ADH1B,"Cerebral Infarction, Right Hemisphere"
ADH1B,Anterior Choroidal Artery Infarction
ADH1B,Subcortical Infarction
ADH1B,Posterior Choroidal Artery Infarction
ADH1B,Nonalcoholic Steatohepatitis
ADH1C,Alcohol Use Disorder
ADH1C,Alcoholic Intoxication
ADH1C,"Alcoholic Intoxication, Chronic"
ADH1C,Mouth Neoplasms
ADH1C,Alcohol abuse
ADH1C,Malignant neoplasm of mouth
ADH1C,"PARKINSON DISEASE, LATE-ONSET"
ADH4,Alcohol Use Disorder
ADH4,"Alcoholic Intoxication, Chronic"
ADH4,"Liver Cirrhosis, Experimental"
ADH4,Alcohol abuse
